2025-09-03 12:51:08,008 - INFO - INFO - 🚀 Starting Endpoint Security Monitor
2025-09-03 12:51:09,524 - INFO - INFO - ✅ Application initialized successfully. Starting main loop...
2025-09-03 12:51:23,821 - INFO - WARNING - Geo queue full, skipping IP: 67.199.150.82
2025-09-03 12:51:23,823 - INFO - WARNING - Geo queue full, skipping IP: 35.212.104.44
2025-09-03 12:51:23,826 - INFO - WARNING - Geo queue full, skipping IP: 142.251.223.194
2025-09-03 12:51:23,831 - INFO - WARNING - Geo queue full, skipping IP: 142.251.223.194
2025-09-03 12:51:23,833 - INFO - WARNING - Geo queue full, skipping IP: 35.244.159.8
2025-09-03 12:51:23,835 - INFO - WARNING - Geo queue full, skipping IP: 142.250.182.162
2025-09-03 12:51:23,837 - INFO - WARNING - Geo queue full, skipping IP: 67.199.150.87
2025-09-03 12:51:23,838 - INFO - WARNING - Geo queue full, skipping IP: 35.213.7.90
2025-09-03 12:51:23,839 - INFO - WARNING - Geo queue full, skipping IP: 142.250.67.68
2025-09-03 12:51:23,842 - INFO - WARNING - Geo queue full, skipping IP: 142.250.182.162
2025-09-03 12:51:23,843 - INFO - WARNING - Geo queue full, skipping IP: 141.94.172.236
2025-09-03 12:51:23,845 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.46
2025-09-03 12:51:23,847 - INFO - WARNING - Geo queue full, skipping IP: 104.18.27.193
2025-09-03 12:51:23,848 - INFO - WARNING - Geo queue full, skipping IP: 162.55.236.224
2025-09-03 12:51:23,849 - INFO - WARNING - Geo queue full, skipping IP: 151.101.66.132
2025-09-03 12:51:23,851 - INFO - WARNING - Geo queue full, skipping IP: 74.125.130.84
2025-09-03 12:51:23,852 - INFO - WARNING - Geo queue full, skipping IP: 74.125.68.188
2025-09-03 12:51:23,853 - INFO - WARNING - Geo queue full, skipping IP: 142.250.192.174
2025-09-03 12:51:23,854 - INFO - WARNING - Geo queue full, skipping IP: 34.160.152.31
2025-09-03 12:51:23,855 - INFO - WARNING - Geo queue full, skipping IP: 172.64.146.152
2025-09-03 12:51:23,855 - INFO - WARNING - Geo queue full, skipping IP: 35.186.253.211
2025-09-03 12:51:23,858 - INFO - WARNING - Geo queue full, skipping IP: 35.186.253.211
2025-09-03 12:51:23,860 - INFO - WARNING - Geo queue full, skipping IP: 142.250.194.14
2025-09-03 12:51:23,861 - INFO - WARNING - Geo queue full, skipping IP: 34.49.50.137
2025-09-03 12:51:23,863 - INFO - WARNING - Geo queue full, skipping IP: 35.71.178.8
2025-09-03 12:51:23,863 - INFO - WARNING - Geo queue full, skipping IP: 35.213.7.90
2025-09-03 12:51:23,865 - INFO - WARNING - Geo queue full, skipping IP: 142.250.182.162
2025-09-03 12:51:23,866 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.99
2025-09-03 12:51:23,868 - INFO - WARNING - Geo queue full, skipping IP: 172.67.72.108
2025-09-03 12:51:23,869 - INFO - WARNING - Geo queue full, skipping IP: 216.58.200.206
2025-09-03 12:51:23,870 - INFO - WARNING - Geo queue full, skipping IP: 142.251.43.170
2025-09-03 12:51:23,872 - INFO - WARNING - Geo queue full, skipping IP: 35.244.154.8
2025-09-03 12:51:23,873 - INFO - WARNING - Geo queue full, skipping IP: 140.82.112.26
2025-09-03 12:51:23,875 - INFO - WARNING - Geo queue full, skipping IP: 18.239.111.83
2025-09-03 12:51:23,876 - INFO - WARNING - Geo queue full, skipping IP: 142.251.223.194
2025-09-03 12:51:23,877 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.10
2025-09-03 12:51:23,878 - INFO - WARNING - Geo queue full, skipping IP: 142.250.76.67
2025-09-03 12:51:23,880 - INFO - WARNING - Geo queue full, skipping IP: 207.65.33.83
2025-09-03 12:51:23,881 - INFO - WARNING - Geo queue full, skipping IP: 69.173.158.65
2025-09-03 12:51:23,883 - INFO - WARNING - Geo queue full, skipping IP: 142.250.182.162
2025-09-03 12:51:23,885 - INFO - WARNING - Geo queue full, skipping IP: 108.159.61.108
2025-09-03 12:51:23,886 - INFO - WARNING - Geo queue full, skipping IP: 172.217.24.78
2025-09-03 12:51:23,888 - INFO - WARNING - Geo queue full, skipping IP: 192.178.134.94
2025-09-03 12:51:23,889 - INFO - WARNING - Geo queue full, skipping IP: 52.223.2.229
2025-09-03 12:51:23,890 - INFO - WARNING - Geo queue full, skipping IP: 142.251.43.161
2025-09-03 12:51:23,892 - INFO - WARNING - Geo queue full, skipping IP: 142.250.76.74
2025-09-03 12:51:23,893 - INFO - WARNING - Geo queue full, skipping IP: 15.197.196.10
2025-09-03 12:51:23,894 - INFO - WARNING - Geo queue full, skipping IP: 172.217.24.67
2025-09-03 12:51:23,895 - INFO - WARNING - Geo queue full, skipping IP: 142.251.43.97
2025-09-03 12:51:23,896 - INFO - WARNING - Geo queue full, skipping IP: 34.111.152.239
2025-09-03 12:51:23,896 - INFO - WARNING - Geo queue full, skipping IP: 172.217.26.97
